Hashtag	Contagem
Bitcoin	4158059
EP10 U STEAL MY HEART	2646223
#JACKANDJOKEREP10	2589887
FIM DA ESCALA 6X1	1949189
Arcane	1657009
Marco Rubio	1327417
hobi	1236048
Flamengo	1225636
Wicked	976710
Léo Picon	930875
Gabriel	904479
jhope	884836
haechan	747313
Gabigol	743239
Jinx	692339
hoseok	655351
Erika Hilton	652484
Folha	599447
Caitlyn	547107
Viktor	518530
The Town	459702
olivia	428466
DOGE	336139
Militares	334469
Nikolas Ferreira	299745
Vtuber	292619
Oasis	267773
Jayce	255025
PEC 6x1	231564
#SKZ_GIANT	213295
Atlético	207355
Viola	202888
Cruzeiro	181495
Patrick	178595
Denzel Washington	175350
Walker	172454
Diana	165385
#SKZ_GIANT_OutNow	164563
Otero	164114
Vaticano	161627
Trabalhador	153654
Diretoria	144642
jeno	142704
bagi	136403
Klaus	130559
nikolas ferreira	127383
PSOL	123992
Arena MRV	121631
Ainda Estou Aqui	114580
Luna	107837
Ídolo	97649
Rams	93208
Megan Fox	88538
Nestor	88450
Filipe	86399
Regular	85039
Dolphins	84367
G4 NO TOPO	83518
#ManiaDeVocê	82527
O Santos	82164
STRAY KIDS UNLEASH THE GIANT	77578
Klay	73041
Zico	70843
FIRST STEP OF STRATEGY	70029
Hillary	69231
Rubinho Nunes	64547
Rossi	64546
#WWERaw	63791
Landim	63675
Trabalhadores	62183
TRABALHADORES	61785
curitiba	61689
Paloma	54337
Denzel	54246
Medina	54184
#TWICE_14th_MiniAlbum	53849
#RomeWordExpo	49997
#ปิ่นภักดิ์LiveReactEp15	49873
Bagi	49125
#GoldenHour_Part2	48884
Bulls	48874
Neto	48195
Braz	47585
NO DOUBT OUT NOW	46454
#ARIASARIANA	45043
Suprema Corte	44678
#IceOnMyTeeth	44025
Bets	42476
Copa do Brasil	42197
Mavi	40634
Molly	39533
#AlmaGêmea	34703
Denji	34325
Ravi	32705
Canva	30189
Gavin	29164
Minas	25515
#新たな伝説生むスキズGIANT	25343
Embiid	25318
Rony	25045
#CorridaDasBlogueiras6	24569
Decisão	24031
Troy	23773
Percy	22950
Katy Perry	20898
#GOLDENHOUR_Part2	19424
Elias	15753
Giorgia	14388
#Squidcraftgames3	14089
Song Jae Rim	14008
Isabel	13987
Jenna	13273
Shai	12814
Jae Rim	12674
#AlmaGemea	12609
Mariano	12169
#DunsheeNÃO	11169
Luma	10717
Tábata	10396
Niterói	240
Igor Gomes	240
Estaduais	240
Maverick	240
#ATHCAT	240
Sesc	240
Ceará	240
São Gonçalo	240
#RailtownAI	240
#bdsp	240
O SBT	240
Beto	240
high school musical	240
Luana Piovani	240
Pinguim	240
Nicola	240
#BABYTOKEN	240
Mauro Cezar	240
Paulistão 2025	240
Castelos	240
Sadrak	240
#PecDaAlforriaSim	240
EU MEREÇO	240
Renault	240
Arthur Elias	240
Pesquisa	240
Bloqueio	240
Pitbull	240
Glayce	240
#RoçaAFazenda	240
Everson	240
Keiller	240
#MasterChefBR	240
Maurício Lemos	240
Diogo Dantas	240
Gabz	240
Ju Barbosa	240
Marco Angulo	240
joe alwyn	240
Geraldo Alckmin	240
sarah vika	240
Pantera Negra 3	240
Marcos Braz	240
#FIMDAJORNADA6X1	240
Crivella	240
ASCOM	240
Gávea	240
SANTOS FUTEBOL CLUBE	240
Eliezer	240
Bruno Muzzi	240
Marcelo Teixeira	240
Plak	240
STJD	240
Deadpool & Wolverine	240
Apple iPhone 13	240
Couto Pereira	240
Marcelinho	240
Gallagher	240
Paysandu	240
Neri	240
Vini Freire	240
Débora	240
#ProvaDeFogo	240
#VoleiNoSporTV	240
Caio Alexandre	240
Estadual	240
Santos Futebol Clube	240
Gustavo Lima	240
Venham	240
Thaisa	240
Nobru	240
Spindel	240
Inter de Limeira	240
Correto	240
Grupo B	240
Mattos	240
Euriquinho	240
Ituano	240
Cleitinho	240
#CDB6	240
Maracatu	240
vini freire	240
SEXTOU NAS RUAS	240
Lorena	240
#3YearsOfRedTaylorsVersion	240
Ticketmaster	240
Aprovado	240
#shopee1111	240
Coritiba	240
Edinara	240
Brusque	240
Bley	240
Muzzi	240
Guarani	240
Velo Clube	240
Pacaembu	240
Ócio	240
Viih Tube	240
Clarisse	240
Carille	240
clarisse	240
Sacola	240
Sergio Ramos	240
Donovan Mitchell	240
chay suede	240
Portuguesa	240
Duda Santos	240
Roger Guedes	240
sheilla	240
Keirrison	240
Esli	240
IMAX	240
Poliana	240
st vincent	240
128 GB	240
#F360BR	240
Essa PEC	240
Rudá	240
rangel	240
Voltamos	240
#provadefogo	240
Santo André	240
Venê	240
#DunsheeNAO	240
Galisteu	240
#A10VOLTOU	240
#escala6x1	240
Vermes	240
juan paiva	240
Maricá	240
Kant	240
gustavo lima	240
#babytoken	240
Furch	240
Lolla	240
jout jout	240
ESTAMOS DE VOLTA	240
Ryan Gosling	240
#peticao	240
América do Norte	240
paulo kogos	240
Valesca	240
Série B	240
FINALMENTE OS REFRESCOS	240
#santosfc	240
Magras	240
EU RECEBO	240
Flesch	240
16x1	240
Água Santa	240
Lígia	240
O Ego	240
Nelipe Feto	240
Faturamento	240
Mourão	240
Mirassol	240
finalmente os refrescos	240
QUARTA FEIRA	240
Di Maria	240
Lázaro	240
Jahde	240
Brazão	240
Cinemark	240
Defante	240
Wendel	240
Ednaldo	240
Giuliano	240
ócio	240
Piltover	240
mc cabral	240
Dia Nacional	240
Juliano	240
Juan Paiva	240
chelo	240
Botafogo-SP	240
Berta	240
Carlinhos Maia	240
Furia	240
jade picon	240
Santos FC	240
Teresina	240
Azerbaijão	240
#TinderDosMarinheiros	240
Tutu	240
Super Mundial	240
Sirley	240
Tabata	240
Naves	240
#ProgramaDoRatinho	240
Robson	240
#CorridaDasBlogueiras	240
HSM 3	240
Vozão	240
Ty Jerome	240
Esli Garcia	240
Interestelar	240
bley	240
Gabizete	240
Planeta Atlântida	240
Odinei Ribeiro	240
$ito	240
Laquintana	240
Gabriel Menino	240
Harden	240
Atlântida	240
Vanderlan	240
Borges	240
Sérgio Ramos	240
Linkin Parque	240
Conmebol	240
Léo Jardim	240
Sarah Vika	240
Kisy	240
#EsquentaBlackKaBuM	240
Pogba	240
troy bolton	240
Memphis Depay	240
SP e RJ	240
Erick Pulga	240
Zé Rafael	240
Sandry	240
Hayner	240
Wendel Silva	240
Flávia Pavanelli	240
Marina Sena	240
Saulo Mineiro	240
Mc Cabral	240
Rangel	240
Luxa	240
Dacota	240
